"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","source","type","score","phase","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000157330.10",7.8875812746426,-2.21925964304404,0.327717247573092,-6.77187319092528,1.27125545581425e-11,5.30862449996171e-11,"HAVANA","gene",NA,NA,"protein_coding","C1orf158","2","HGNC:28567","OTTHUMG00000001888.5"
"ENSG00000287988.1",0.321140069266423,3.62538642675713,0.535597765846301,6.76886024912489,1.29800843428352e-11,5.41609337106108e-11,"HAVANA","gene",NA,NA,"transcribed_unprocessed_pseudogene","FO082814.1","2",NA,"OTTHUMG00000193799.1"
"ENSG00000281566.3",9.60772294363631,-3.264748513704,0.48247653294048,-6.7666472684315,1.31800876240512e-11,5.49763188288607e-11,"HAVANA","gene",NA,NA,"lncRNA","AL157778.1","2",NA,"OTTHUMG00000189756.2"
"ENSG00000156925.12",6.16292378924048,-2.67974599307131,0.396248905650173,-6.7627845903431,1.3536442663546e-11,5.64038065759688e-11,"HAVANA","gene",NA,NA,"protein_coding","ZIC3","2","HGNC:12874","OTTHUMG00000022525.2"
"ENSG00000275826.1",0.40112891702886,2.62482588267991,0.388567000773387,6.75514358516182,1.42693870703794e-11,5.93391489056398e-11,"HAVANA","gene",NA,NA,"processed_pseudogene","AC093909.5","1",NA,"OTTHUMG00000187586.1"
"ENSG00000211857.1",3.18471219734479,-2.30529850266946,0.341318667038765,-6.75409441467094,1.4373013533864e-11,5.97597047997419e-11,"HAVANA","gene",NA,NA,"TR_J_gene","TRAJ32","2","HGNC:12062","OTTHUMG00000170935.4"
"ENSG00000285980.2",2.15080538244076,-2.2838731435657,0.338641934785015,-6.74421242311765,1.5385930122316e-11,6.38326906962382e-11,"HAVANA","gene",NA,NA,"lncRNA","AP003025.2","2",NA,"OTTHUMG00000184004.3"
"ENSG00000237987.1",0.909540618060089,2.28156603798011,0.339351533531294,6.72331141173321,1.77640358416555e-11,7.34698685405486e-11,"HAVANA","gene",NA,NA,"lncRNA","AL606970.4","2",NA,"OTTHUMG00000016041.1"
"ENSG00000263207.2",1.21401745593478,2.20471101258261,0.32792465680052,6.72322427381166,1.77746671304262e-11,7.35074926386465e-11,"HAVANA","gene",NA,NA,"lncRNA","AC109462.2","2",NA,"OTTHUMG00000177968.2"
"ENSG00000287442.1",2.30359988891779,-2.36839967280877,0.352378796541457,-6.72117532625187,1.80264529220797e-11,7.44973138529144e-11,"HAVANA","gene",NA,NA,"lncRNA","AC079460.2","2",NA,"OTTHUMG00000194387.1"
